70-attend	70 출석 팝업(카드 격자)	side:attend	fxlc@7,fxl@60|출석 보상|던전
29-roul	29 룰렛(원판 — 세로로 큰 블록)	side:roul	fxlc@7,fxl@60|행운 룰렛|던전
22-quest	22 퀘스트 팝업(목록)	side:quest	fxlc@7,fxl@60|퀘스트|던전
54-promo	승급전 팝업	side:promo	fxlc@7,fxl@60|승급전|던전
21-coll	21 도감 보너스 팝업	side:coll	fxlc@7,fxl@60||던전
69-mail	69 우편함	menu:mail	fxlc@7,fxl@60|우편함|던전
35-pass	35 패스(가장 요소 많은 페이지)	pass:35	fxlc@7,fxl@60||던전
06-eqsk	08 영웅 → 스킬 시트	eqtab:sk	fxlc@7,fxl@60||던전
06-eqcos	08 영웅 → 코스튬 시트	eqtab:cos	fxlc@7,fxl@60||던전
06-eqpet	08 영웅 → 펫 시트	eqtab:pet	fxlc@7,fxl@60||던전
30-tower	03 모험 → 탑 서브탭	dunsub:tower	fxlc@7,fxl@60||탑
19-prof	19 프로필 팝업	prof:19	fxlc@7,fxl@60||던전
